index_7networks,name_7networks,x,y,z,index_17networks,name_17networks
1,7Networks_LH_Vis_1,-35,-36,-24,148,17Networks_LH_DorsAttnA_TempOcc_1
2,7Networks_LH_Vis_2,-34,-51,-19,5,17Networks_LH_VisCent_ExStr_1
3,7Networks_LH_Vis_3,-25,-45,-14,151,17Networks_LH_DorsAttnA_TempOcc_4
4,7Networks_LH_Vis_4,-28,-63,-13,6,17Networks_LH_VisCent_ExStr_2
5,7Networks_LH_Vis_5,-31,-43,-9,482,17Networks_LH_DefaultC_PHC_4
6,7Networks_LH_Vis_6,-34,-69,-16,7,17Networks_LH_VisCent_ExStr_3
7,7Networks_LH_Vis_7,-45,-67,-18,152,17Networks_LH_DorsAttnA_TempOcc_5
8,7Networks_LH_Vis_8,-24,-58,-9,45,17Networks_LH_VisPeri_ExStrInf_1
9,7Networks_LH_Vis_9,-36,-80,-15,8,17Networks_LH_VisCent_ExStr_4
10,7Networks_LH_Vis_10,-26,-80,-13,9,17Networks_LH_VisCent_ExStr_5
11,7Networks_LH_Vis_11,-21,-74,-9,10,17Networks_LH_VisCent_ExStr_6
12,7Networks_LH_Vis_12,-45,-72,-11,11,17Networks_LH_VisCent_ExStr_7
13,7Networks_LH_Vis_13,-21,-49,-6,46,17Networks_LH_VisPeri_ExStrInf_2
14,7Networks_LH_Vis_14,-20,-88,-16,12,17Networks_LH_VisCent_ExStr_8
15,7Networks_LH_Vis_15,-42,-84,-14,13,17Networks_LH_VisCent_ExStr_9
16,7Networks_LH_Vis_16,-14,-71,-10,47,17Networks_LH_VisPeri_ExStrInf_3
17,7Networks_LH_Vis_17,-13,-83,-14,14,17Networks_LH_VisCent_ExStr_10
18,7Networks_LH_Vis_18,-31,-91,-18,15,17Networks_LH_VisCent_ExStr_11
19,7Networks_LH_Vis_19,-15,-64,-5,48,17Networks_LH_VisPeri_ExStrInf_4
20,7Networks_LH_Vis_20,-16,-38,-11,484,17Networks_LH_DefaultC_PHC_6
21,7Networks_LH_Vis_21,-46,-72,-3,155,17Networks_LH_DorsAttnA_TempOcc_8
22,7Networks_LH_Vis_22,-13,-50,-7,49,17Networks_LH_VisPeri_ExStrInf_5
23,7Networks_LH_Vis_23,-6,-78,-7,50,17Networks_LH_VisPeri_ExStrInf_6
24,7Networks_LH_Vis_24,-34,-92,-9,16,17Networks_LH_VisCent_ExStr_12
25,7Networks_LH_Vis_25,-10,-61,-3,51,17Networks_LH_VisPeri_ExStrInf_7
26,7Networks_LH_Vis_26,-6,-71,-2,52,17Networks_LH_VisPeri_ExStrInf_8
27,7Networks_LH_Vis_27,-4,-90,-12,1,17Networks_LH_VisCent_Striate_1
28,7Networks_LH_Vis_28,-21,-99,-12,17,17Networks_LH_VisCent_ExStr_13
29,7Networks_LH_Vis_29,-45,-82,-1,18,17Networks_LH_VisCent_ExStr_14
30,7Networks_LH_Vis_30,-10,-98,-12,2,17Networks_LH_VisCent_Striate_2
31,7Networks_LH_Vis_31,-14,-42,-4,53,17Networks_LH_VisPeri_ExStrInf_9
32,7Networks_LH_Vis_32,-7,-61,3,35,17Networks_LH_VisPeri_StriCal_1
33,7Networks_LH_Vis_33,-30,-96,-2,19,17Networks_LH_VisCent_ExStr_15
34,7Networks_LH_Vis_34,-36,-89,1,20,17Networks_LH_VisCent_ExStr_16
35,7Networks_LH_Vis_35,-4,-79,2,36,17Networks_LH_VisPeri_StriCal_2
36,7Networks_LH_Vis_36,-44,-71,7,21,17Networks_LH_VisCent_ExStr_17
37,7Networks_LH_Vis_37,-5,-68,6,37,17Networks_LH_VisPeri_StriCal_3
38,7Networks_LH_Vis_38,-17,-55,1,54,17Networks_LH_VisPeri_ExStrInf_10
39,7Networks_LH_Vis_39,-9,-95,-2,3,17Networks_LH_VisCent_Striate_3
40,7Networks_LH_Vis_40,-6,-103,-1,4,17Networks_LH_VisCent_Striate_4
41,7Networks_LH_Vis_41,-11,-45,2,471,17Networks_LH_DefaultC_Rsp_1
42,7Networks_LH_Vis_42,-48,-78,9,22,17Networks_LH_VisCent_ExStr_18
43,7Networks_LH_Vis_43,-6,-88,2,38,17Networks_LH_VisPeri_StriCal_4
44,7Networks_LH_Vis_44,-17,-102,2,23,17Networks_LH_VisCent_ExStr_19
45,7Networks_LH_Vis_45,-43,-85,10,24,17Networks_LH_VisCent_ExStr_20
46,7Networks_LH_Vis_46,-17,-68,4,39,17Networks_LH_VisPeri_StriCal_5
47,7Networks_LH_Vis_47,-12,-75,9,40,17Networks_LH_VisPeri_StriCal_6
48,7Networks_LH_Vis_48,-14,-51,4,472,17Networks_LH_DefaultC_Rsp_2
49,7Networks_LH_Vis_49,-25,-95,8,25,17Networks_LH_VisCent_ExStr_21
50,7Networks_LH_Vis_50,-23,-58,5,55,17Networks_LH_VisPeri_ExStrSup_1
51,7Networks_LH_Vis_51,-7,-81,10,41,17Networks_LH_VisPeri_StriCal_7
52,7Networks_LH_Vis_52,-2,-94,5,42,17Networks_LH_VisPeri_StriCal_8
53,7Networks_LH_Vis_53,-32,-87,10,26,17Networks_LH_VisCent_ExStr_22
54,7Networks_LH_Vis_54,-9,-100,11,27,17Networks_LH_VisCent_ExStr_23
55,7Networks_LH_Vis_55,-16,-58,8,474,17Networks_LH_DefaultC_Rsp_4
56,7Networks_LH_Vis_56,-18,-65,9,56,17Networks_LH_VisPeri_ExStrSup_2
57,7Networks_LH_Vis_57,-8,-70,12,43,17Networks_LH_VisPeri_StriCal_9
58,7Networks_LH_Vis_58,-18,-98,17,28,17Networks_LH_VisCent_ExStr_24
59,7Networks_LH_Vis_59,-49,-75,20,159,17Networks_LH_DorsAttnA_ParOcc_2
60,7Networks_LH_Vis_60,-1,-80,12,44,17Networks_LH_VisPeri_StriCal_10
61,7Networks_LH_Vis_61,-41,-80,16,160,17Networks_LH_DorsAttnA_ParOcc_3
62,7Networks_LH_Vis_62,-4,-92,16,57,17Networks_LH_VisPeri_ExStrSup_3
63,7Networks_LH_Vis_63,-19,-60,16,476,17Networks_LH_DefaultC_Rsp_6
64,7Networks_LH_Vis_64,-25,-91,20,29,17Networks_LH_VisCent_ExStr_25
65,7Networks_LH_Vis_65,-34,-90,19,30,17Networks_LH_VisCent_ExStr_26
66,7Networks_LH_Vis_66,-7,-69,17,58,17Networks_LH_VisPeri_ExStrSup_4
67,7Networks_LH_Vis_67,-2,-82,21,59,17Networks_LH_VisPeri_ExStrSup_5
68,7Networks_LH_Vis_68,-10,-95,25,31,17Networks_LH_VisCent_ExStr_27
