epic,measure,region,r,p
baseline,eccentricity,7Networks_LH_Cont_Cing_1,0.158238735588171,0.3495801419754142
baseline,eccentricity,7Networks_LH_Cont_Cing_2,-0.3926749657864558,0.01621590335507547
baseline,eccentricity,7Networks_LH_Cont_Cing_3,0.08700905999183187,0.6086069330971497
baseline,eccentricity,7Networks_LH_Cont_Cing_4,0.07338465057013714,0.666000682244561
baseline,eccentricity,7Networks_LH_Cont_Cing_5,0.2117944167318322,0.20824294608260807
baseline,eccentricity,7Networks_LH_Cont_Cing_6,0.07047564491404323,0.6785159657613022
baseline,eccentricity,7Networks_LH_Cont_Cing_7,0.01777035121414991,0.916859128123499
baseline,eccentricity,7Networks_LH_Cont_Cing_8,-0.08353803818305884,0.6230289720844693
baseline,eccentricity,7Networks_LH_Cont_OFC_1,-0.2078073557245537,0.21713417372426122
baseline,eccentricity,7Networks_LH_Cont_PFCd_1,-0.13554338582134437,0.4237794209738626
baseline,eccentricity,7Networks_LH_Cont_PFCl_1,-0.17760096224331923,0.29297644188337024
baseline,eccentricity,7Networks_LH_Cont_PFCl_10,-0.11877508361592731,0.4838224573640501
baseline,eccentricity,7Networks_LH_Cont_PFCl_11,0.014615396306443687,0.9315815907648165
baseline,eccentricity,7Networks_LH_Cont_PFCl_12,0.26118888983179983,0.1184142916416708
baseline,eccentricity,7Networks_LH_Cont_PFCl_13,0.3044687051825327,0.06691885934927853
baseline,eccentricity,7Networks_LH_Cont_PFCl_14,-0.0367492555195679,0.829036511145628
baseline,eccentricity,7Networks_LH_Cont_PFCl_15,0.044004892265372,0.7959366670084521
baseline,eccentricity,7Networks_LH_Cont_PFCl_16,-0.1841791720253858,0.27516972540977785
baseline,eccentricity,7Networks_LH_Cont_PFCl_17,-0.025277607794366105,0.8819451050409569
baseline,eccentricity,7Networks_LH_Cont_PFCl_18,0.14338812937116957,0.39719162120575996
baseline,eccentricity,7Networks_LH_Cont_PFCl_19,0.23177112643275588,0.16749438210342796
baseline,eccentricity,7Networks_LH_Cont_PFCl_2,-0.1639224677903951,0.33231717031580493
baseline,eccentricity,7Networks_LH_Cont_PFCl_20,0.15407999744004575,0.36254957049214
baseline,eccentricity,7Networks_LH_Cont_PFCl_3,0.03939369351037218,0.8169358862398329
baseline,eccentricity,7Networks_LH_Cont_PFCl_4,0.07487507248769655,0.6596225452619053
baseline,eccentricity,7Networks_LH_Cont_PFCl_5,-0.16884879235191716,0.31778886371021264
baseline,eccentricity,7Networks_LH_Cont_PFCl_6,0.1309907491264008,0.4396546394721971
baseline,eccentricity,7Networks_LH_Cont_PFCl_7,-0.11798294729275555,0.48676377845507
baseline,eccentricity,7Networks_LH_Cont_PFCl_8,0.0635049880879988,0.7088472230633972
baseline,eccentricity,7Networks_LH_Cont_PFCl_9,0.30174691442501334,0.06951989101022164
baseline,eccentricity,7Networks_LH_Cont_PFCmp_1,-0.08161055425063268,0.6310982292833952
baseline,eccentricity,7Networks_LH_Cont_PFCmp_2,-0.10834066459606631,0.523294895341526
baseline,eccentricity,7Networks_LH_Cont_PFCv_1,0.04820355361403007,0.7769378990007246
baseline,eccentricity,7Networks_LH_Cont_PFCv_2,0.019123763603151503,0.9105515512295783
baseline,eccentricity,7Networks_LH_Cont_Par_1,-0.02145597650578945,0.8996951284444319
baseline,eccentricity,7Networks_LH_Cont_Par_10,-0.025068728994589437,0.882913883287884
baseline,eccentricity,7Networks_LH_Cont_Par_11,0.06629931449452015,0.6966321225388254
baseline,eccentricity,7Networks_LH_Cont_Par_12,-0.022174577937820523,0.8963535698036708
baseline,eccentricity,7Networks_LH_Cont_Par_13,-0.04749922332825706,0.7801163945762747
baseline,eccentricity,7Networks_LH_Cont_Par_14,0.2943362340168022,0.07700508659845316
baseline,eccentricity,7Networks_LH_Cont_Par_15,0.1353750668520913,0.42436058182749536
baseline,eccentricity,7Networks_LH_Cont_Par_2,0.1121664285024736,0.5086412975298815
baseline,eccentricity,7Networks_LH_Cont_Par_3,-0.1594448954720093,0.34587199151753945
baseline,eccentricity,7Networks_LH_Cont_Par_4,-0.15788191474988722,0.3506817401514452
baseline,eccentricity,7Networks_LH_Cont_Par_5,-0.021119411524884994,0.9012607731091109
baseline,eccentricity,7Networks_LH_Cont_Par_6,-0.12314775990356355,0.46775339984901315
baseline,eccentricity,7Networks_LH_Cont_Par_7,0.08993244475787253,0.596571932014412
baseline,eccentricity,7Networks_LH_Cont_Par_8,0.004038059629693913,0.9810762944331791
baseline,eccentricity,7Networks_LH_Cont_Par_9,-0.03902150129517147,0.8186365384917202
baseline,eccentricity,7Networks_LH_Cont_Temp_1,0.10902786218290812,0.5206475847540146
baseline,eccentricity,7Networks_LH_Cont_Temp_2,-0.2848856545485112,0.08744495119276935
baseline,eccentricity,7Networks_LH_Cont_Temp_3,-0.05287041632116085,0.7559697302913082
baseline,eccentricity,7Networks_LH_Cont_Temp_4,0.13923435508360454,0.4111478896569462
baseline,eccentricity,7Networks_LH_Cont_pCun_1,-0.014240311660791396,0.9333334926621801
baseline,eccentricity,7Networks_LH_Cont_pCun_2,-0.05991113227307903,0.724662885139415
baseline,eccentricity,7Networks_LH_Cont_pCun_3,-0.03698691104315477,0.827947396939936
baseline,eccentricity,7Networks_LH_Cont_pCun_4,-0.22582325067283054,0.17897474424765858
baseline,eccentricity,7Networks_LH_Default_PFC_1,0.15926491639848983,0.3464237821766267
baseline,eccentricity,7Networks_LH_Default_PFC_10,0.2238251103424315,0.1829541708956575
baseline,eccentricity,7Networks_LH_Default_PFC_11,-0.022130522672917815,0.8965583805845054
baseline,eccentricity,7Networks_LH_Default_PFC_12,0.032126916896379545,0.8502796278158945
baseline,eccentricity,7Networks_LH_Default_PFC_13,-0.04225199000567026,0.8039035238610791
baseline,eccentricity,7Networks_LH_Default_PFC_14,-0.24758115495019917,0.13956836455737998
baseline,eccentricity,7Networks_LH_Default_PFC_15,0.0700119547054363,0.6805188459897518
baseline,eccentricity,7Networks_LH_Default_PFC_16,-0.16179302212943755,0.3387221110092004
baseline,eccentricity,7Networks_LH_Default_PFC_17,0.13320699359268345,0.4318860924518086
baseline,eccentricity,7Networks_LH_Default_PFC_18,0.1482005290594105,0.3813693095774855
baseline,eccentricity,7Networks_LH_Default_PFC_19,-0.04967101963922712,0.7703270465065444
baseline,eccentricity,7Networks_LH_Default_PFC_2,-0.054675786052685645,0.747903207715278
baseline,eccentricity,7Networks_LH_Default_PFC_20,0.09923939557002846,0.5589670348278225
baseline,eccentricity,7Networks_LH_Default_PFC_21,0.0663306196088272,0.6964956940459552
baseline,eccentricity,7Networks_LH_Default_PFC_22,0.02557722916583964,0.8805557586844356
baseline,eccentricity,7Networks_LH_Default_PFC_23,-0.0052126948560710755,0.9755730184789905
