measure,A,B,region,tstat,pvalue_corrected
eccentricity,baseline,early,7Networks_LH_Cont_Cing_1,-1.1143516575768289,0.4022439140614307
eccentricity,baseline,early,7Networks_LH_Cont_Cing_2,0.4313208202297353,0.695323037174913
eccentricity,baseline,early,7Networks_LH_Cont_Cing_3,0.13641117073495956,0.9718715188099118
eccentricity,baseline,early,7Networks_LH_Cont_Cing_4,-0.002800408937187676,0.997771938481967
eccentricity,baseline,early,7Networks_LH_Cont_Cing_5,-1.3398827323694722,0.4061496051623075
eccentricity,baseline,early,7Networks_LH_Cont_Cing_6,-0.09510042326661051,0.9244512820834203
eccentricity,baseline,early,7Networks_LH_Cont_Cing_7,0.28344868504445186,0.7774986804326652
eccentricity,baseline,early,7Networks_LH_Cont_Cing_8,-2.7524377422592337,0.021550487402277677
eccentricity,baseline,early,7Networks_LH_Cont_OFC_1,-0.826625159877069,0.8479499222132497
eccentricity,baseline,early,7Networks_LH_Cont_PFCd_1,0.5866890590936193,0.6255210969650878
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_1,-0.6498461180594892,0.9063130659096423
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_10,0.35025259624573074,0.83832497769546
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_11,-0.8383284288285978,0.6061764048681332
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_12,-1.215580166190936,0.5545200166849811
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_13,-0.4391528094138392,0.86414605093567
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_14,-1.7858226100903603,0.15437836713509398
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_15,-1.9459969908330854,0.16453859774201532
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_16,-1.0725354642504774,0.42961809482209046
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_17,-1.118067206465445,0.5542255818026468
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_18,-0.24607505676712188,0.8061971837986075
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_19,-1.1332556129061817,0.39027749093362213
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_2,-1.5949805131231947,0.342905907246321
eccentricity,baseline,early,7Networks_LH_Cont_PFCl_20,0.1891509002462026,0.9247533657426199
