,comp,region_idx,diff,tstat,pvalue,signif
1,0,0,baseline_2_early_learning,-0.3808659178065453,0.7043381070932606,0
2,0,0,baseline_2_late_learning,-1.296330787025145,0.1986839058349657,0
5,0,0,early_learning_2_late_learning,-0.8237348709955749,0.41260184741513084,0
10,0,1,baseline_2_early_learning,0.5439087322456979,0.5880556460988364,0
11,0,1,baseline_2_late_learning,0.7129455734661231,0.4780069633080535,0
14,0,1,early_learning_2_late_learning,0.09502053035867382,0.9245422077743554,0
19,0,2,baseline_2_early_learning,1.380429140688402,0.17139786012558736,0
20,0,2,baseline_2_late_learning,0.63233493675049,0.5290172928570489,0
23,0,2,early_learning_2_late_learning,-0.7639741890954121,0.4471875087506334,0
28,0,3,baseline_2_early_learning,0.9073063836333662,0.3670393757228325,0
29,0,3,baseline_2_late_learning,1.6943878317123546,0.09418109521402052,0
32,0,3,early_learning_2_late_learning,0.6597059184600382,0.511385811125644,0
37,0,4,baseline_2_early_learning,-1.0795943678341915,0.28364989474786795,0
38,0,4,baseline_2_late_learning,-0.4183090079589984,0.6768706872418497,0
41,0,4,early_learning_2_late_learning,0.7839010577863392,0.4354722090629689,0
46,0,5,baseline_2_early_learning,-0.16087071899476493,0.8726111534780465,0
47,0,5,baseline_2_late_learning,-0.18393888633463615,0.8545387499827785,0
50,0,5,early_learning_2_late_learning,-0.014154122871355165,0.9887431622937595,0
55,0,6,baseline_2_early_learning,1.4852880789791647,0.14149807138439605,0
56,0,6,baseline_2_late_learning,1.6419671111304834,0.10462288428772037,0
59,0,6,early_learning_2_late_learning,0.0778481575275789,0.9381481954307103,0
64,0,7,baseline_2_early_learning,-0.7955292228263121,0.4287200325869901,0
65,0,7,baseline_2_late_learning,0.5176281251630453,0.6061827434217872,0
68,0,7,early_learning_2_late_learning,1.2711792767389076,0.2074426795979697,0
73,0,8,baseline_2_early_learning,-0.12634384669829368,0.8997848638032956,0
74,0,8,baseline_2_late_learning,1.1966077070684933,0.2350839976315852,0
77,0,8,early_learning_2_late_learning,1.231719261225456,0.2217544891681428,0
82,0,9,baseline_2_early_learning,0.02337282810422468,0.9814125699110297,0
83,0,9,baseline_2_late_learning,1.704337560573168,0.09229869076137588,0
